id,razao,cnpj,contato,telefone,celular,cidade,estado,email,cond_pgto,cond_transporte,cep,end_numero,complemento,logradouro,bairro
1,"1F COMERCIO DE FERRAMENTAS E FERRAGENS LTDA",08.058.669/0001-46,JOAQUIM,(11)3996-5462,N,"SÃO CAETANO DO SUL",SP,vendatecnica@1FFerramentas.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
2,"ABA CORRENTES E ENGRENAGENS EIRELI",00.830.037/0001-47,GISLANE,(16)98163-0192,,BATATAIS,SP,compras@abacorrentes.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
3,"ACRO CABOS DE ACO INDUSTRIA E COMERCIO LTDA",03.358.329/0004-60,GABRIEL,(11)3299-5435,N,"SÃO PAULO",SP,gabriel.amaro@acrocabo.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
4,"ADDN ASSISTENCIA TECNICA COMERCIO E INDUSTRIA LTDA",71.774.004/0001-75,JESSICA,(16)3946-3826,N,SERTAOZINHO,SP,jessica@addn.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",14176-153,43,NULL,NULL,NULL
5,"ALFA-X INDUSTRIA DE EQUIPAMENTOS E MANUTENCAO LTDA",26.166.281/0001-40,MAIZA,(11)4529-6657,(11)97884-4933,CABREÚVA,SP,compras@alfax-equipamentos.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",13318-000,680,NULL,NULL,NULL
6,"ALFA-X INDUSTRIA DE EQUIPAMENTOS E MANUTENCAO LTDA",26.166.281/0001-40,SORAIA,(11)4529-6684,(11)97884-4933,CABREÚVA,SP,compras@alfax-equipamentos.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",13318-000,680,NULL,NULL,NULL
7,"AMSTED MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A",01.599.436/0001-01,SHIRLEY,(12)2122-8380,N,CRUZEIRO,SP,shirley@amstedmaxion.com.br,"30 DDL","FOB - TRANSPORTADORA GAT LOGISTICA - SP",N,N,NULL,NULL,NULL
8,AMVIAN INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVAS LTDA,11.701.069/0001-69,RENATO,(11)3135-1143,N,ATIBAIA,SP,tconti@amvian.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
9,"ANTONIOSI TECNOLOGIA AGROINDUSTRIAL LTDA",01.974.675/0001-02,ADEJAIR,(16)3384-8000,N,MATÃO,SP,adejair.geraldo@antoniosi.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",15991-326,200,NULL,NULL,NULL
10,"ARCELOR MITTAL",17.469.701/0049-11,ARI,(19)3302-3150,N,PIRACICABA,SP,ari.grigolon@arcelormittal.com.br,"30 DDL","CIF - POSTO NA S/FABRICA - PIRACICABA -SP",N,N,NULL,NULL,NULL
11,"BALDAN IMPLEMENTOS AGRICOLAS LTDA",52.311.347/0009-06,HUDSON,(16)3221-5032,N,MATÃO,SP,hnamaral@baldan.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",15993-900,1500,NULL,NULL,NULL
12,"BALDAN IMPLEMENTOS AGRICOLAS LTDA",03.321.768/0001-55,PAULO,(16)3221-6500,N,MATÃO,SP,psfregonesi@baldan.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",15993-900,1500,NULL,NULL,NULL
13,"BR COMPRESSORES SERVICE LTDA",05.808.502/0001-67,RAFAEL,(71)3342-3337,N,SALVADOR,BA,comercial01@brcompressores.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
14,"BRASIL CORRENTES E ENGRENAGENS",N,VALMIR,"(31) 2559-4448",(31)98904-2179,CONTAGEM,SP,valmir@brasilcorrentes.ind.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
15,"BRASILIAN SERVICE CENTER",02.917.443/0003-39,"MICHEL LORO",(16)3626-7627,(19)99341-9973,"RIBEIRÃO PRETO",SP,m.loro@continental-industrie.com,"28 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
16,"CABOLUC CABOS DE ACO LTDA",45.626.579/0001-30,SERGIO,(11)2209-9900,(11)93243-4972,"SÃO PAULO",SP,sergio@caboluc.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",02142-020,38,EMPRESA,"Rua Cabo João Monteiro da Rocha","Jardim Japao"
17,"CABOLUC CABOS DE ACO LTDA",45.626.579/0001-30,"CARLOS CATALANI",(11)2209-9900,(11)93243-4972,"SÃO PAULO",SP,"sgq@caboluc.com.br   ","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",02142-020,38,EMPRESA,"Rua Cabo João Monteiro da Rocha","Jardim Japao"
18,"CABOS DE ACO SAO JOSE",67.694.935/0001-96,REBECA,(11)3908-0515,N,OSASCO,SP,Comercial11@cabossaojose.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
19,"CARGOFIX ELEVACAO E AMARRACAO DE CARGAS",29.748.210/0001-44,DANIELLE,(27)3281-2555,(27)98876-7812,"NOVA CARAPINA",ES,vendas3@cargofix.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
20,"CASA DAS ENGRENAGENS",56.696.230/0001-91,MASSAO,(19)3778-4433,N,CAMPINAS,SP,massao@casadasengrenagens.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
21,"CCS TECNOLOGIA E SERVICOS S/A",00.964.350/0001-78,RODRIGO,(19)3446-4600,N,LIMEIRA,SP,rodrigo_reato@ccstec.com.br,"30 DDL","CIF - POSTO NA S/FABRICA-LIMEIRA-SP",13486-199,"KM 145",NULL,NULL,NULL
22,"CCS TECNOLOGIA E SERVICOS S/A",00.964.350/0001-78,RITIELE,(42)3252-0200,N,PALMERA,PR,ritiele_paula@ccstec.com.br,"30 DDL","CIF - POSTO NA SUA FABRICA EM LIMEIRA-SP",13486-199,"KM 145",NULL,NULL,NULL
23,"CCS TECNOLOGIA E SERVICOS S/A",00.964.350/0001-78,VIRGÃLIO,(19)3446-4600,(19)99314-8891,LIMEIRA,SP,virgilio_leme@ccstec.com.br,"30 DDL","CIF - POSTO NA SUA FABRICA EM LIMEIRA-SP",13486-199,"KM 145",NULL,NULL,NULL
24,"CCS TECNOLOGIA E SERVICOS S/A",00.964.350/0001-78,PLINIO,(19)3446-4600,(19)99314-8891,LIMEIRA,SP,plinio_rensi@ccstec.com.br,"30 DDL","CIF - POSTO NA SUA FABRICA EM LIMEIRA-SP",13486-199,"KM 145",NULL,NULL,NULL
25,"CIA DOS CABOS LTDA",06.021.714/0001-62,SHIRLEI,(11)3908-8847,(11)96353-7541,OSASCO,SP,shirlei@ciadoscabos.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
26,"CINZANDO - COMERCIO E EQUIPAMENTOS DE CARGAS LTDA",03.521.359/0001-00,FABIANA,(47)99974-2710,(47)999742710,JOINVILLE,SC,vendas@cinzando.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
27,CITYCON,30.309.535/0001-00,LETICIA,"(21) 2720-1937",N,NITERÓI,RJ,citycon@comercialcitycon.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
28,"COMCABO COMERCIO E IMPORTACAO LTDA",61.774.048/0001-41,ANTONIO,(11)3312-4250,95655-0280,"SÃO PAULO",SP,antonio@comcabo.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",03004-001,71,NULL,NULL,NULL
29,"COMERCIAL EVEKEM LTDA",44.852.799.0001/10,KEMBERLY,(11)4380-5115,(11)96335-0040,POÁ,SP,kemberly@evekem.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
30,"COMERCIAL VICHIETTI LTDA",26.292.303/0001-19,ESTEFFANY,(11)4130-4077,,POA,SP,comercial4@comercialvichietti.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
31,"DURA FERRO INDUSTRIA E COMERCIO LTDA",55.156.574/0001-45,RUY,(019)98154-5538,N,ARARAS,SP,aruy@duraferro.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
