id,codigo,ref_prod,desc_prod,qtde
2301,Z101271,M-6-10,"ANEL M-6-10",3.00
2302,Z101273,M-108-10,"ANEL M-108-10",49.00
2303,Z101267,M-1310-10,"ANEL M-1310-10",4.00
2304,Z101268,M-1613-10,"ANEL M-1613-10",1.00
2305,Z101269,M-2016-10,"ANEL M-2016-10",0.00
2306,Z101270,M-2220-10,"ANEL M-2220-10",3.00
2307,Z101275,M-2622-10,"ANEL M-2622-10",0.00
2308,Z101276,M-3226-10,"ANEL M-3226-10",0.00
2309,Z101284,M-32-10,"ANEL SOLDADO M-32-10",0.00
2310,Z101272,M-86-10,"ANEL M-86-10",0.00
2311,Z101277,M-3632-10,"ANEL M-3632-10",4.00
2312,B14487,"MF 6-10","ANEL MF 6-10",2.00
2313,B14489,MF-86-10,"ANEL MF-86-10",23.00
2314,B14482,MF-108-10(8+),"ANEL MF-108-10(8+)",85.00
2315,H000184,AW-18-10,"ELO DE SUSPENSAO WIN - AW18 (ANEL MF-108-10 GUNNEBO)",1.00
2316,H000162,"VLW 02-13 04-10","ELO DE SUSPENSAO WIN-VLW 02-13 04-10",0.00
2317,H000163,"VLW 02-16 04-13","ELO DE SUSPENSAO WIN-VLW 02-16 04-13",0.00
2319,H000185,AW-22-10,"ELO DE SUSPENSAO WIN - AW 22  (ANEL MF-1310-10 GUNNEBO)",1.00
2320,B14484,MF-1613-10,"ANEL MF-1613-10",3.00
2321,B14485,MF-2016-10(8+),"ANEL MF-2016-10(8+)",9.00
2322,B14486,"MF-2220-8+ (10)","ANEL MF-2220-8+ (10)",4.00
2323,Z101262,MFH-1310-10,"ANEL MFH-1310-10",0.00
2324,Z101264,MFH-2016-10,"ANEL MFH-2016-10",0.00
2325,MFESP,"MFS 1310-10","ANEL MFS 1310-10",4.00
2326,Z101266,"MFSH 2220-10","ANEL MFSH 2220-10",1.00
2327,Z100550,MFX-108-10,"ANEL MFX-108-10",1.00
2328,Z100551,"MFX-1310-10 ","ANEL MFX-1310-10 ",0.00
2329,Z101125,MFX-2016-10,"ANEL MFX-2016-10-10",5.00
2330,Z100552,MFX-1613-10,"ANEL MFX-1613-10",2.00
2331,B14710,MG-6-10,"ANEL MG-6-10",0.00
2332,B14711,MG-8-10,"ANEL MG-8-10",0.00
2333,B14712,MG-10-10,"ANEL MG-10-10",0.00
2334,B14713,MG-13-10,"ANEL MG-13-10",0.00
2335,B14714,MG-16-10,"ANEL MG-16-10",0.00
2336,B14700,MGD-6-10,"ANEL MGD-6-10",0.00
2337,B14701,MGD-8-10,"ANEL MGD-8-10",0.00
2338,B14702,MGD-10-10,"ANEL MGD-10-10",0.00
2339,B14703,DMG-13-10,"ANEL MGD-13-10",0.00
2340,B14704,MGD-16-10,"ANEL MGD-16-10",0.00
2341,Z100091,MT-6-10,"ANEL MT-6-10",5.00
2342,H000424," KWB-G067-8","ELO DE SUSPENSAO KWB-G067-8 (ANEL MT-6-8 GUNNEBO)",0.00
2343,Z100903,MT-8-10,"ANEL MT-8-10",1.00
