ref_prod;desc_prod;ncm;sap;ipi;tipo; valor_custo ;carga_trabalho;comprimento;valor_venda
G-209 33T ;MANILHA CROSBY G-209 .33 TN;73269090;1018357;1.05;UN;75.09;0.33;37.3;125
G-209 50T ;MANILHA CROSBY G-209 .50 TN;73269090;1018375;1.05;UN;68.38;0.5;46.7;113
G-209 75T ;MANILHA CROSBY G-209 .75 TN;73269090;1018393;1.05;UN;66.61;0.75;53.1;111
G-209 1T ;MANILHA CROSBY G-209 1.00 TN;73269090;1018419;1.05;UN;56.79;1;63.5;94
G-209 1.50T ;MANILHA CROSBY G-209 1.50 TN;73269090;1018437;1.05;UN;74.62;1.5;73.9;124
G-209 2T ;MANILHA CROSBY G-209 2.00 TN;73269090;1018455;1.05;UN;100.79;2;83.3;167
G-209 3.25T ;MANILHA CROSBY G-209 3.25 TN;73269090;1018473;1.05;UN;136.46;3.25;106;226
G-209 4.75T ;MANILHA CROSBY G-209 4.75 TN;73269090;1018491;1.05;UN;158.94;4.75;126;264
G-209 6.50T ;MANILHA CROSBY G-209 6.50 TN;73269090;1018516;1.05;UN;214.08;6.5;148;355
G-209 8.50T ;MANILHA CROSBY G-209 8.50 TN;73269090;1018534;1.05;UN;292.03;8.5;167;484
G-209 9.50T ;MANILHA CROSBY G-209 9.50 TN;73269090;1018552;1.05;UN;438.08;9.5;190;727
G-209 12T ;MANILHA CROSBY G-209 12.00 TN;73269090;1018570;1.05;UN;626.38;12;210;1039
G-209 13.50T ;MANILHA CROSBY G-209 13.50 TN;73269090;1018598;1.05;UN;923.9;13.5;233;1533
G-209 17T ;MANILHA CROSBY G-209 17.00 TN;73269090;1018614;1.05;UN;984.64;17;254;1634
G-209 25T ;MANILHA CROSBY G-209 25.00 TN;73269090;1018632;1.05;UN;2146.22;25;313;3561
G-209 35T ;MANILHA CROSBY G-209 35.00 TN;73269090;1018650;1.05;UN;3036.25;35;347;5037
G-209 55T ;MANILHA CROSBY G-209 55.00 TN;73269090;1018678;1.05;UN;6633.14;55;455;11004
G-209A 2.0T;MANILHA CROSBY G-209A 2.0 TN;73269090;1017450;1.05;UN;87.82;2;63.6;146
G-209A 2.6T;MANILHA CROSBY G-209A 2.6 TN;73269090;1017472;1.05;UN;92.17;2.67;74;153
