ref_prod;desc_prod;ncm;sap;ipi;tipo; valor_custo ;carga_trabalho;cumprimento;valor_venda
M3 CAMERA;M3 CAMERA SYSTEM   ;85256090;7380001;1;PC; 118498.27 ;1;1;187227
G-277 3/8 X 2-1/2;G277 SHOULDER NUT EYE BOLT 3/8 X 2-1/2;73269090;1045096;1.05;PC; 448.62 ;1;1;744
G-277 3/8 X 4-1/2;G277 SHOULDER NUT EYE BOLT 3/8 X 4-1/2;73269090;1045112;1.05;PC; 569.08 ;1;1;944
G-277 1/2 X 3-1/4;G277 SHOULDER NUT EYE BOLT 1/2 X 3-1/4;73269090;1045130;1.05;PC; 471.15 ;1;1;782
G-277 1/2 X 6;G277 SHOULDER NUT EYE BOLT 1/2 X 6;73269090;1045158;1.05;PC; 498.4 ;1;1;827
G-277 5/8 X 4;G277 SHOULDER NUT EYE BOLT 5/8 X 4;73269090;1045176;1.05;PC; 515.95 ;1;1;856
G-277 5/8 X 6;G277 SHOULDER NUT EYE BOLT 5/8 X 6;73269090;1045194;1.05;PC; 515.89 ;1;1;856
G-277 3/4 X 4-1/2;G277 SHOULDER NUT EYE BOLT 3/4 X 4-1/2;73269090;1045210;1.05;PC; 567.07 ;1;1;941
G-277 3/4 X 6;G277 SHOULDER NUT EYE BOLT 3/4 X 6;73269090;1045238;1.05;PC; 722.64 ;1;1;1199
G-277 7/8 X 5;G277 SHOULDER NUT EYE BOLT 7/8 X 5;73269090;1045256;1.05;PC; 960.76 ;1;1;1594
G-277 1 X 6;G277 SHOULDER NUT EYE BOLT 1 X 6;73269090;1045292;1.05;PC; 1030.63 ;1;1;1710
G-277 1 X 9;G277 SHOULDER NUT EYE BOLT 1 X 9;73269090;1045318;1.05;PC; 1216.67 ;1;1;2018
G-277 1-1/4X8;1-1/4X8 S E BOLT   ;73269090;1045336;1.05;PC; 1173.2 ;1;1;1946
G-277 1-1/4X12;1-1/4X12 S E BOLT  ;73269090;1045354;1.05;PC; 1284.44 ;1;1;2131
G-277 1-1/4X15;1-1/2X15 S E BOLT  ;73269090;1045372;1.05;PC; 1744.34 ;1;1;2894
